Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,43.20000076293945,43.20000076293945,38.25,41.505001068115234,41.505001068115234,3720,2020-01-02
2020-01-03,40.42499923706055,41.32500076293945,38.54999923706055,39.150001525878906,39.150001525878906,3707,2020-01-03
2020-01-06,37.5,39.9900016784668,34.86000061035156,36.45000076293945,36.45000076293945,2867,2020-01-06
2020-01-07,36.150001525878906,37.650001525878906,35.25,36.75,36.75,627,2020-01-07
2020-01-08,36.599998474121094,38.3849983215332,33.75,36.29999923706055,36.29999923706055,4360,2020-01-08
2020-01-09,35.099998474121094,39.0,35.099998474121094,38.25,38.25,3260,2020-01-09
2020-01-10,37.5,41.084999084472656,37.5,39.07500076293945,39.07500076293945,2960,2020-01-10
2020-01-13,39.29999923706055,43.125,37.97999954223633,41.400001525878906,41.400001525878906,5900,2020-01-13
2020-01-14,38.849998474121094,42.75,38.25,39.45000076293945,39.45000076293945,6193,2020-01-14
2020-01-15,36.0,36.45000076293945,33.0,34.875,34.875,9353,2020-01-15
2020-01-16,34.79999923706055,35.685001373291016,33.900001525878906,35.23500061035156,35.23500061035156,2567,2020-01-16
2020-01-17,35.099998474121094,38.25,33.900001525878906,35.25,35.25,10560,2020-01-17
2020-01-21,34.5,37.349998474121094,34.5,36.0,36.0,2827,2020-01-21
2020-01-22,35.70000076293945,36.93000030517578,35.29499816894531,36.29999923706055,36.29999923706055,1320,2020-01-22
2020-01-23,36.29999923706055,37.03499984741211,33.869998931884766,34.5,34.5,1993,2020-01-23
2020-01-24,33.779998779296875,37.5,33.75,34.349998474121094,34.349998474121094,5720,2020-01-24
2020-01-27,33.45000076293945,33.584999084472656,32.43000030517578,32.849998474121094,32.849998474121094,1940,2020-01-27
2020-01-28,33.55500030517578,33.55500030517578,32.15999984741211,32.564998626708984,32.564998626708984,660,2020-01-28
2020-01-29,32.70000076293945,33.0,31.5,31.649999618530273,31.649999618530273,513,2020-01-29
2020-01-30,31.290000915527344,34.02000045776367,31.125,32.310001373291016,32.310001373291016,587,2020-01-30
2020-01-31,31.049999237060547,31.9950008392334,30.450000762939453,30.450000762939453,30.450000762939453,2113,2020-01-31
2020-02-03,50.54999923706055,66.34500122070312,37.5,41.25,41.25,669007,2020-02-03
2020-02-04,39.75,39.75,32.400001525878906,33.0,33.0,31000,2020-02-04
2020-02-05,33.150001525878906,33.150001525878906,30.899999618530273,32.099998474121094,32.099998474121094,8180,2020-02-05
2020-02-06,33.150001525878906,33.150001525878906,30.149999618530273,30.75,30.75,6427,2020-02-06
2020-02-07,30.149999618530273,31.350000381469727,30.0,30.299999237060547,30.299999237060547,3780,2020-02-07
2020-02-10,30.899999618530273,30.899999618530273,24.75,25.649999618530273,25.649999618530273,8527,2020-02-10
2020-02-11,22.799999237060547,25.5,18.75,21.299999237060547,21.299999237060547,9007,2020-02-11
2020-02-12,23.700000762939453,23.700000762939453,21.75,21.75,21.75,3213,2020-02-12
2020-02-13,22.350000381469727,23.670000076293945,21.899999618530273,21.899999618530273,21.899999618530273,1827,2020-02-13
2020-02-14,22.799999237060547,23.25,19.799999237060547,23.25,23.25,7053,2020-02-14
2020-02-18,23.700000762939453,25.049999237060547,22.649999618530273,23.475000381469727,23.475000381469727,5300,2020-02-18
